GEOID,COSUB,MassEnviroScore,PollutionBurden100,PopCharacteristics100,NAME,minorityE,minorityPctE,limitEngE,limitEngM,limitEngpctE,limitEngpctM,medHHincE,medHHincM,medHHincMA,medHHincMAPCT,MUNI,medHHincMUNIE,medHHincMUNIM,medHHincMUNIPCT,EJ_CRITERIA,MEDIANHHI,LIMITEDENGLISH,MINORITY_POPULATION,EJ,EJ_CRITERIA_CNT,EJ_CRIT_DESC,LARName,geometry,popMES,popMHI,popLEP,popLAR,DAC
250138109022,Chicopee,85.55229716520039,85.72825024437927,68.89540566959921,"Block Group 2, Census Tract 8109.02, Hampden County",385,49.044585987261144,0,14,0,5.363984674329502,87679,48021,101341,86.51878311838249,Chicopee,66927,4186,66.04138502679073,M,,,M,Yes,1,Minority,None,"list(list(c(-72.601504, -72.593742, -72.593361, -72.600221, -72.601504, 42.137942, 42.135679, 42.135488, 42.132607, 42.137942)))","<b style=""color:white;background-color:#FF0000;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#053061;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",Yes
250235110002,Brockton,87.25317693059628,62.600195503421304,98.47507331378299,"Block Group 2, Census Tract 5110, Plymouth County",1337,85.32227185705169,149,133.22537295875736,25.77854671280277,21.100147980463685,48958,29845,101341,48.31016074441736,Brockton,77089,3853,76.06891583860431,IEM,I,E,M,Yes,3,Low Income and Limited English and Minority,None,"list(list(c(-71.016622, -71.00465, -71.004988, -71.005106, -71.008166, -71.010084, -71.016498, -71.016586, -71.016622, 42.085721, 42.087361, 42.08385, 42.08275, 42.080066, 42.080013, 42.081125, 42.084048, 42.085721)))","<b style=""color:white;background-color:#FF0000;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#FF0000;"">Median Household Income:</b> ","<b style=""color:white;background-color:#FF0000;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",Yes
250235212021,Whitman,41.9941348973607,36.930596285435,37.302052785923756,"Block Group 1, Census Tract 5212.02, Plymouth County",46,4.200913242009133,0,14,0,3.910614525139665,143333,37596,101341,141.43633869805902,Whitman,107794,11863,106.36761034526994,,,,,No,0,,None,"list(list(c(-70.931843, -70.929483, -70.925226, -70.925665, -70.923862, -70.923203, -70.921095, -70.913154, -70.911015, -70.909799, -70.908765, -70.908107, -70.908188, -70.912899, -70.929, -70.931116, -70.931451, -70.932375, -70.931843, 42.073977, 42.076897, 42.08187, 42.082198, 42.083303, 42.083563, 42.08399, 42.077359, 42.071862, 42.069592, 42.064748, 42.061663, 42.061727, 42.065019, 42.066248, 42.07135, 42.072148, 42.073453, 42.073977)))","<b style=""color:white;background-color:#053061;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#053061;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",No
250277323012,Worcester,68.95405669599218,40.058651026392965,90.40078201368524,"Block Group 2, Census Tract 7323.01, Worcester County",723,28.154205607476634,19,37.8021163428716,1.397058823529412,2.766606360174222,64948,31251,101341,64.08857224617874,Worcester,67544,2165,66.65022054252474,IM,I,,M,Yes,2,Low Income and Minority,None,"list(list(c(-71.767401, -71.764512, -71.761147, -71.758999, -71.758822, -71.755431, -71.752964, -71.753947, -71.754543, -71.752863, -71.752269, -71.751192, -71.749967, -71.746078, -71.741961, -71.744199, -71.749998, -71.753944, -71.756173, -71.75883, -71.764423, -71.764953, -71.766757, -71.766543, -71.767401, 42.257877, 42.259403, 42.258987, 42.259691, 42.257586, 42.255531, 42.255759, 42.260114, 42.263398, 42.263596, 42.260189, 42.254247, 42.251813, 42.243838, 42.24313, 42.2416, 42.24099, 42.241102, 
42.243424, 42.245109, 42.250371, 42.250561, 42.250756, 42.256342, 42.257877)))","<b style=""color:white;background-color:#053061;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#FF0000;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",Yes
250277108002,Fitchburg,29.14956011730205,8.895405669599219,87.29227761485825,"Block Group 2, Census Tract 7108, Worcester County",441,43.36283185840708,33,43.40506882842141,7.173913043478261,9.260840625197154,73841,34221,101341,72.86389516582626,Fitchburg,70659,5590,69.724001144650245,M,,,M,Yes,1,Minority,None,"list(list(c(-71.802518, -71.802351, -71.797273, -71.794836, -71.796862, -71.796977, -71.79771, -71.799014, -71.802598, -71.802246, -71.803121, -71.802518, 42.597063, 42.597871, 42.596976, 42.595487, 42.590809, 42.585681, 42.586222, 42.585361, 42.586423, 42.586838, 42.593965, 42.597063)))","<b style=""color:white;background-color:#053061;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#053061;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",No
250277612001,Westborough,45.043988269794724,26.41251221896383,58.49462365591398,"Block Group 1, Census Tract 7612, Worcester County",1128,48.10234541577825,72,81.24038404635961,9,9.94417158125804,131745,50768,101341,130.00167750466247,Westborough,134474,10070,132.694565871661,M,,,M,Yes,1,Minority,None,"list(list(c(-71.608464, -71.607832, -71.602738, -71.590837, -71.580033, -71.562426, -71.586009, -71.588587, -71.595941, -71.60047, -71.604235, -71.607945, -71.608464, 42.290447, 42.291414, 42.295811, 42.3048, 42.305892, 42.288842, 42.288559, 42.288404, 42.28659, 42.285396, 42.284998, 42.285119, 42.290447)))","<b style=""color:white;background-color:#053061;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#053061;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",No
250277121013,Lunenburg,33.0791788856305,11.319648093841641,83.01075268817203,"Block Group 3, Census Tract 7121.01, Worcester County",403,19.50629235237173,29,39.92492955535426,3.415783274440518,4.618532016428778,76172,38861,101341,75.16405008831568,Lunenburg,109753,12275,108.30068777691162,,,,,No,0,,None,"list(list(c(-71.77197, -71.77152, -71.766951, -71.763167, -71.760578, -71.759419, -71.756733, -71.753491, -71.75027, -71.748339, -71.747554, -71.759179, -71.76295, -71.764895, -71.772942, -71.77197, 42.585971, 42.593517, 42.594814, 42.59463, 42.591395, 42.59181, 42.593545, 42.587655, 42.581094, 42.576219, 42.572455, 42.566017, 42.563924, 42.562843, 42.569648, 42.585971)))","<b style=""color:white;background-color:#053061;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#053061;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",No
250277325002,Worcester,95.64027370478983,82.81524926686217,97.49755620723363,"Block Group 2, Census Tract 7325, Worcester County",922,87.8932316491897,78,61.09828148156051,16.317991631799163,11.96140426192288,39773,16456,101341,39.246701729803334,Worcester,67544,2165,66.65022054252474,IM,I,,M,Yes,2,Low Income and Minority,None,"list(list(c(-71.805938, -71.803019, -71.798162, -71.800712, -71.805007, -71.80532, -71.805938, 42.252651, 42.254413, 42.254123, 42.250918, 42.250676, 42.251365, 42.252651)))","<b style=""color:white;background-color:#FF0000;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#FF0000;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",Yes
250277541002,Webster,12.942326490713588,3.9687194525904204,59.784946236559136,"Block Group 2, Census Tract 7541, Worcester County",282,12.292938099389712,0,14,0,1.4256619144602851,110156,36716,101341,108.69835505866332,Webster,68934,5566,68.02182729596116,,,,,No,0,,None,"list(list(c(-71.83654, -71.836768, -71.835605, -71.832373, -71.826678, -71.825744, -71.824105, -71.822293, -71.821085, -71.830314, -71.832056, -71.834524, -71.837455, -71.836365, -71.832532, -71.830265, -71.826658, -71.823186, -71.824016, -71.817205, -71.8045665635015, -71.8416470936308, -71.83654, 42.025841, 42.027069, 42.02908, 42.030991, 42.033227, 42.034847, 42.033171, 42.033648, 42.035306, 42.042584, 42.046744, 42.050576, 42.052409, 42.05262, 42.054537, 42.057693, 42.059696, 42.059541, 42.058326, 
42.057887, 42.023603720229, 42.0239324381206, 42.025841)))","<b style=""color:white;background-color:#053061;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#053061;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",No
250056311021,Attleboro,40.01955034213099,37.302052785923756,34.05669599217986,"Block Group 1, Census Tract 6311.02, Bristol County",98,5.638665132336018,0,14,0,2.2801302931596092,92758,16959,101341,91.53057498939225,Attleboro,93266,6554,92.03185285323808,,,,,No,0,,None,"list(list(c(-71.3817, -71.3817, -71.37285, -71.37241, -71.373722, -71.372536, -71.372205, -71.376696, -71.381253, -71.3817, -71.3817, 41.9146596532258, 41.914816, 41.919718, 41.917236, 41.91711, 41.914111, 41.908042, 41.905888, 41.903762, 41.903598, 41.9146596532258)))","<b style=""color:white;background-color:#053061;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#053061;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",No
