GEOID,GEOID_TRACT,COSUB,COUNTYFP,PTRAF,EXPpctilePTRAF,PM25,EXPpctilePM25,OZONE,EXPpctileOZONE,NO2,EXPpctileNO2,DWATER,EXPpctileDWATER,PWS,CancerRisk,EXPpctileCancerRisk,DSLPM,EXPpctileDSLPM,Respiratory HI,EXPpctileRespHI,cleanup_score,EFFCTpctileCleanup,gwater_score,EFFCTpctileGrndWater,BWPScore,EFFCTpctileBWPMAJOR_PT,SWScore,EFFCTpctileSW,IL_count,EFFCTpctileIL,High blood pressure among adults,SPpctileHPRSSR,Coronary heart disease among adults,SPpctileHRTDIS,Chronic obstructive pulmonary disease among adults,SPpctileCOPD,Cancer (non-skin) or melanoma among adults,SPpctileCANCER,pedAsthmaPrevalence,SPpctileAsthmaPed,BLL,SPpctileBLL,LBW,SPpctileLBW,PMR,SPpctilePMR,HSlesspctE,SEpctileHS,hhburden,SEpctileHHB,limitEngpctE,SEpctileLEP,TotalPopE,TotalHHE,povHHpctE,SEpctilePOV,unemploypctE,SEpctileEMP,AnnFreqWeight,CLIMpctilDrought,AIAmean,CLIMpctilFIRE,BldFloodPct,PopFloodPct,CLIMpctilFLD,HeatEvents,CLIMpctilHEAT,AvgExposure,AvgEffect,AvgClimate,AvgSensitivePops,AvgSocioEconFacts,AvgEffect0_5,AvgClimate0_5,PollutionBurden,PopCharacteristics,PollutionBurden10,PopCharacteristics10,MassEnviroScoreRaw,MassEnviroScore,NAME,minorityPctE,medHHincE,medHHincMA,medHHincMUNIPCT,medHHincMUNIE,medHHincMAPCT,UBA
250277324001,25027732400,Worcester,027,8115308.04807656,73,7.168819178082192,99.62940086473132,60.2466,26.868437306979615,6.802503035424198,58.75440658049354,0,0,"WORCESTER DPWP, WATER SUPPLY DIVISION",24.26185196048983,41.312893081761004,0.1245360249650928,33.07783018867924,0.2344780732937365,36.55781474635449,1,0.44960659423004873,0,0,0,0,0,0,0,0,33.4,67.91979949874687,5.7,47.368421052631575,7.2,74.62406015037594,4.9,11.278195488721805,12.55413375987204,68.24681684622918,30.2,85.9,2.65,61.3,1068,99.8760842627014,21.130742049469966,87.91788856304986,25.98870056497175,89.99382334774553,13.79746835443038,84.26197458455523,2308,790,40.98786828422877,96.930596285435,0,0,4.144736842105264,40.36805011746281,-9.938240419524756e-7,36.78543461237275,0,0,0,116,33.35943617854346,46.1500978461249,0.08992131884600975,27.628230227094754,64.56417216242585,71.82085655615712,0.044960659423004874,13.814115113547377,30.004586809547643,68.1925143592915,3.904164788309221,7.494122684653051,29.25828990469181,62.815249266862175,"Block Group 1, Census Tract 7324, Worcester County",58.49220103986135,70750,103960,67.43170450173143,70102,68.05502116198538,No
250173701011,25017370101,Watertown,017,9609228.985133715,78,6.681838356164383,70.22853613341569,62.0634,53.18097591105621,8.089738551958634,77.53623188405797,0.9710894704808277,70.8772627809827,"BELMONT WATER DEPT. (MWRA), WALTHAM WATER DEPARTMENT, WATERTOWN WATER DEPT. (MWRA)",26.738473665604097,71.65880503144653,0.18904512714595254,63.089622641509436,0.278413692171212,68.65886218936127,7,11.35256650430873,3,0.04391743522178305,0,0,0,0,0,0,27.6,21.303258145363408,4.8,22.807017543859647,4.5,22.74436090225564,8.7,47.86967418546366,7.758442690648802,14.985308521057785,NA,NA,2.43000171859306,53.3,209.099755100488,26.0223048327138,4.708362614195362,47.878787878787875,10.238907849829351,33.23038912909203,4.773561811505508,64.73118279569893,1897,817,13.811280969952557,74.68230694037146,2.954755309325946,45.219941348973606,4.302631578947369,85.5324980422866,-1.058311272989809e-7,17.20830070477682,0,0,0,151,81.89115113547378,69.15378707147873,2.2792967879061026,46.1579874706343,29.86170344724485,53.14852161858478,1.1396483939530513,23.07899373531715,46.68621460037447,41.505112532914815,6.074760379110778,4.561269052541007,27.70861651884027,57.810361681329425,"Block Group 1, Census Tract 3701.01, Middlesex County",9.330521876647339,116979,103960,121.45536744901887,126265,112.52308580223162,No
250173835021,25017383502,Framingham,017,4261735.290331794,50,6.893841095890411,87.70846201358864,60.393299999999996,32.24212476837554,6.100137113151993,47.512730121425776,0,0,FRAMINGHAM WATER DEPT. (MWRA),25.536351632174433,57.507861635220124,0.17819870981879762,61.183176100628934,0.25939867824038604,54.26165537071267,9,29.449231922068194,0,0,0,0,0,0,2,64.86803519061584,18.8,5.012531328320802,3.2,6.203007518796992,3.5,9.335839598997493,5.1,13.157894736842104,8.261333955223881,20.274240940254654,NA,NA,NA,NA,270,48.5749690210657,15.945089757127773,81.44672531769305,4.843049327354261,5.373687461395924,22.851919561243143,92.62952101661779,1475,547,0,0,3.8058991436726926,52.62952101661779,4.2631578947368425,51.018010963194996,-1.5753624400690483e-6,44.087705559906034,15.077605321507761,15.076410472733176,93.41588050314465,153,85.04306969459671,48.80200125124396,18.863453422536807,68.3911666802106,17.09308052404629,46.41589096246491,9.431726711268404,34.1955833401053,46.21465565130883,31.7544857432556,6.013401632321825,3.4897087192620733,20.985020108738258,34.91691104594331,"Block Group 1, Census Tract 3835.02, Middlesex County",48.54237288135593,98219,103960,103.32724124663332,107419,94.47768372450943,No
250056321005,25005632100,Seekonk,005,2607478.5897247596,32,6.379167123287671,35.948116121062384,61.1467,44.348363187152565,6.779614467336954,58.34312573443008,0,0,"ATTLEBORO WATER DEPT, SEEKONK WATER DISTRICT",24.675299048502836,46.50157232704403,0.167908549756744,56.85927672955975,0.2362132307944484,37.87225302936948,0,0,0,0,0,0,0,0,0,0,32.3,58.08270676691729,6.2,61.71679197994987,6,51.253132832080205,10.3,77.94486215538848,9.280780377465186,33.476983349657196,13.3986856331238,51.8,NA,NA,231.377302649615,33.6431226765799,0.8763388510223954,18.55327468230694,6.976744186046512,14.144533662754789,0,0,1471,570,5.6424201223657375,47.546432062561095,10.589651022864018,85.74780058651027,3.868421052631579,7.06734534064213,-4.319934938046144e-6,74.51057165231009,0,0,0,123.5,40.46593578700078,38.984088391077286,0,30.51096319498825,52.559657108653276,33.19840819882662,0,15.255481597494125,27.119784994285705,42.87903265373995,3.528797457311272,4.712258146301766,16.628604564864,19.589442815249267,"Block Group 5, Census Tract 6321, Bristol County",27.396329027872195,102361,103960,116.01866102347056,120613,98.46190842631782,No
250251003001,25025100300,Boston,025,11162562.247530095,82,6.67972602739726,69.85793699814701,63.9557,73.74922791846818,7.9134120492856646,75.36231884057972,0,0,BOSTON WATER AND SEWER COMMISSION (MWRA),27.13302889774681,80.09040880503144,0.3250573806625776,88.28616352201259,0.3200485186691194,85.97247894844938,102,98.9883851629824,3,0.04391743522178305,0,0,0,0,0,0,36.5,88.09523809523809,5.4,38.721804511278194,5.9,49.49874686716792,5,12.406015037593985,16.95956452469464,89.50048971596473,34,89.6,4.27,93.8,534.4,94.1140024783147,13.695090439276486,77.34115347018573,30.555555555555557,95.55281037677578,0,0,1178,406,1.7196904557179709,20.13685239491691,5.182926829268292,63.147605083088955,4.302631578947369,85.5324980422866,-5.347629467439951e-7,29.013312451057168,0,0,0,142.5,65.3680501174628,69.41481687908603,19.806460519640837,44.978465152701645,69.4670370881947,51.23568426499347,9.903230259820418,22.489232576350823,50.90363985762863,60.351360676594084,6.6235272490300865,6.632406875528513,43.9299276667176,90.98729227761486,"Block Group 1, Census Tract 1003, Suffolk County",97.96264855687606,80787,103960,93.63601385148134,97344,77.70969603693729,Yes
250173537001,25017353700,Cambridge,017,16141367.312333588,94,6.603679452054794,58.18406423718344,63.590900000000005,68.2520074119827,9.817915131245151,92.61652957305131,0,0,"CAMBRIDGE WATER DEPARTMENT, SOMERVILLE WATER DEPT. (MWRA)",27.798535017520507,88.85613207547169,0.3800793205385892,97.11084905660378,0.3619257456980075,95.56377079482439,12,38.441363806669166,0,0,0,0,0,0,0,0,15.9,2.568922305764411,2.5,3.3208020050125313,2.7,3.634085213032581,3.7,3.195488721804511,10.598157894736843,48.20763956904995,NA,NA,0,0,181.8,18.0297397769517,2.9887920298879203,36.53958944281525,21.671826625387,82.33477455219271,1.8711018711018712,50.4594330400782,964,481,10.3023516237402,65.96285434995113,2.5316455696202533,41.329423264907135,4.302631578947369,85.5324980422866,0,0,0,0,0,143,65.8770555990603,74.32291914363967,7.688272761333833,37.85238841033673,11.279525370230813,55.32521492998889,3.8441363806669164,18.926194205168365,48.546624864737474,33.30237015010985,6.316834975639594,3.6598158894642037,23.118453014969013,42.85434995112414,"Block Group 1, Census Tract 3537, Middlesex County",42.427385892116185,103125,103960,125.76760292420161,130748,99.19680646402462,No
250092501002,25009250100,Lawrence,009,6760413.647972742,66,6.232794520547945,29.771463866584313,60.0914,21.92711550339716,8.05306063277697,77.14453584018801,0,0,LAWRENCE WATER WORKS,26.027749492621655,63.305817610062896,0.15251753664953474,50.47169811320755,0.2514614361015291,48.7779831587595,105,99.06331959535406,0,0,4,59.90602975724354,0,0,9,97.98631476050831,33.8,71.67919799498746,7.4,84.71177944862156,7.1,72.61904761904762,5.2,13.972431077694235,10.72773942290671,49.578844270323216,0.00113491696495344,25.3,2.58058500364414e-4,19.1,452.98155759932,87.7942998760843,15.084294587400176,79.92179863147605,17.914438502673796,70.78443483631871,31.972318339100347,96.24633431085043,3497,1445,14.368988633051588,75.6989247311828,3.224181360201511,47.722385141739984,4.2631578947368425,51.018010963194996,-4.773160732086095e-8,14.741581832419733,7.954545454545454,8.706812844869981,89.28852201257862,147.5,75.60689115113547,44.674826761524926,51.39113282262118,57.66375148983221,53.0944500358448,74.07477553031359,25.69556641131059,28.831875744916104,49.60113445887581,63.584612783079194,6.454046637726508,6.9877301567430425,45.09913632346756,91.92570869990226,"Block Group 2, Census Tract 2501, Essex County",88.04689734057763,61804,103960,58.13101192766449,60433,59.44978838014621,Yes
250138134013,25013813401,East Longmeadow,013,2610336.1803874983,32,6.918013698630137,89.87029030265596,66.23519999999999,95.12044471896233,5.371253965216377,37.44614179396788,0.24491725768321512,64.63099263974537,"EAST LONGMEADOW DPW WATER DEPT, LONGMEADOW WATER DEPT, SPRINGFIELD WATER AND SEWER COMMISSION",28.21832434171328,93.73034591194968,0.14316273473250535,44.8309748427673,0.2710286757283137,62.00451838159786,1,0.44960659423004873,6,40.75537988581467,0,0,0,0,0,0,32,55.952380952380956,5.9,53.258145363408524,6,51.253132832080205,10,72.86967418546367,14.988950136222519,83.38883447600392,12.7,49.8,NA,NA,348.4,71.0656753407683,7.566862361382909,61.03616813294232,10,31.747992588017294,2.6490066225165565,55.11241446725318,1976,755,2.40128068303095,25.61094819159335,0,0,3.986842105263158,30.677368833202816,-3.877611503597943e-6,70.28191072826938,0.2544529262086514,0.8666901289420643,66.52908805031447,154.66666666666666,87.31401722787784,64.9542135739558,8.240997296008944,63.70059620991613,62.512549021443654,34.70150467596123,4.120498648004472,31.850298104958064,50.46250516345917,48.607026848702446,6.5661272737926355,5.341744998888842,35.07457752684944,77.57575757575758,"Block Group 3, Census Tract 8134.01, Hampden County",15.991902834008098,73116,103960,102.61254328587918,106676,70.33089649865333,Yes
250092041012,25009204101,Salem,009,6607302.816868696,65,6.14934794520548,22.23594811612106,67.4774,98.70290302655961,7.292700285137675,66.3924794359577,0,0,SALEM WATER DEPARTMENT,24.725434166390336,47.40566037735849,0.2340346322207164,78.28223270440252,0.298201210818464,79.72889710412817,0,0,3,0.04391743522178305,0,0,0,0,0,0,25.8,14.849624060150376,4.4,14.598997493734336,5,31.57894736842105,6.7,26.691729323308273,12.046618233909753,63.232125367286976,NA,NA,NA,NA,320.4,65.6753407682776,9.549795361527966,67.8396871945259,20.935960591133004,80.66707844348363,13.055555555555557,83.34310850439883,1440,360,15.68075117370892,78.18181818181819,10.32547699214366,85.29814271749756,4.2631578947368425,51.018010963194996,-6.842186573616961e-8,15.602975724353954,12.698412698412698,6.14232133906206,86.47798742138365,64,9.612372748629602,57.21851509556594,0.00878348704435661,40.67783671439055,36.104460730196436,79.06596700834481,0.004391743522178305,20.338918357195276,38.7809125981417,57.585213869270625,5.046130926088395,6.328416859430526,31.934020027551572,69.93157380254155,"Block Group 2, Census Tract 2041.01, Essex County",36.736111111111114,98032,103960,81.90938822624086,85153,94.29780684878799,No
250250922001,25025092200,Boston,025,11203712.894626532,82,6.64621095890411,64.54601605929587,64.186,77.39345274861026,7.759712981515847,73.32549941245593,0,0,BOSTON WATER AND SEWER COMMISSION (MWRA),26.917159453801656,75.70754716981132,0.32611589029207816,89.05267295597484,0.323165723222353,87.3690696241528,0,0,3,0.04391743522178305,2,0.9397024275646046,0,0,0,0,31,48.370927318295735,4.9,25.68922305764411,4.9,29.761904761904763,5.6,17.606516290726816,20.328911091437966,97.88442703232126,35.4505738799642,90.4,7.68107816646811,100,343.674666881822,70.1363073110285,36.62921348314607,96.98924731182795,11.875,42.680667078443484,6.896551724137931,71.14369501466275,1275,319,3.5294117647058822,34.50635386119257,3.8857142857142852,53.43108504398827,4.2631578947368425,51.018010963194996,-9.821514792730461e-7,36.58966327329679,0,0,0,132.25,49.84338292873923,68.67428224628763,0.19672397255727753,34.362764291307755,59.98116322149015,59.750209662023,0.09836198627863876,17.181382145653878,42.977013189110075,59.86568644175658,5.592123053207083,6.579032948274996,36.79076181785757,81.09481915933529,"Block Group 1, Census Tract 922, Suffolk County",73.1764705882353,149306,103960,93.63601385148134,97344,143.6186994998076,Yes
